,port-name,country,vessel_type_main,count,count_max,utilization_count,dwt,dwt_max,utilization_dwt,tat_median,tat_mean,id,handling_base,congestion,handling
4174,Poti,Georgia,RoRo,1.0384615384615385,3,0.3461538461538462,9870.234146978024,26176.0,0.37707190353675213,26.774166666666552,28.396656378600817,port1016,0.338799285750217,1.107226595162202,0.3751275796045987
4175,Poti,Georgia,Tanker,1.7980769230769231,5,0.3596153846153846,17971.04556076007,306999.0,0.05853779836663986,24.575,26.779411764705877,port1016,0.338799285750217,1.0004011798843488,0.33893520520849174
4176,Pozzuoli,Italy,Dry bulk,0.009615384615384616,1,0.009615384615384616,70.1923076923077,7300.0,0.009615384615384616,333.14333333333326,333.14333333333326,port1017,0.301898330788139,1.0000017779927173,0.3018988675611725
4177,Pozzuoli,Italy,General cargo,0.057692307692307696,1,0.057692307692307696,551.0865384615385,12709.0,0.04336191190979136,47.47791666666666,69.07625,port1017,0.3055689085606587,1.0001630629384333,0.30561873552478247
4178,Pozzuoli,Italy,Tanker,0.019230769230769232,1,0.019230769230769232,45.71976923076923,2377.428,0.019230769230769232,7.903333333333333,7.903333333333333,port1017,0.2841308591018346,1.0000142239417387,0.28413490056262064
4179,Praia De Vitoria,Portugal,Container,1.5673076923076923,3,0.5224358974358975,12987.25,21990.0,0.5905979990904957,16.608611111111028,24.265463531015673,port1018,0.3066581960654526,1.4120082472424111,0.43300390192889937
4180,Praia De Vitoria,Portugal,Dry bulk,0.08653846153846154,1,0.08653846153846154,1771.8146525641025,40481.0,0.04376904356523066,107.49416666666666,89.69234567901235,port1018,0.2989119254217379,1.0001676992674058,0.29896205273265
4181,Praia De Vitoria,Portugal,General cargo,2.2788461538461537,6,0.3798076923076923,12212.451923076924,61457.0,0.1987153932518171,16.399166666666666,56.016983122362774,port1018,0.2985199252079468,1.0156936703980797,0.3032047985214197
4182,Praia De Vitoria,Portugal,Tanker,0.5,2,0.25,7651.173076923077,64313.0,0.11896775266156262,14.152777777777771,18.599017094017096,port1018,0.2976411649953169,1.0033675788150573,0.29864349507704413
4183,Presque Isle,U.S.A.,Dry bulk,2.3653846153846154,8,0.2956730769230769,62990.94671524725,241160.0,0.2611998122211281,8.65069444444444,14.166133694670268,port1019,0.2783664977219751,1.0356408929882783,0.28828772827880583
4184,Primorsk,Russia,Dry bulk,0.038461538461538464,1,0.038461538461538464,2979.4903846153848,120670.0,0.0246912271866693,29.15,29.633958333333336,port1020,0.2196281413859797,1.0000301063441703,0.21963475358639376
4185,Primorsk,Russia,RoRo,0.009615384615384616,1,0.009615384615384616,1086.576923076923,113004.0,0.009615384615384616,16.607777777777773,16.607777777777773,port1020,0.281642169783286,1.0000017779927173,0.2816426705410127
4186,Primorsk,Russia,Tanker,16.971153846153847,26,0.6527366863905326,1098035.6763366212,1652623.0,0.6644199411097517,27.871944444444427,28.606305791627264,port1020,0.281642169783286,1.586621492861798,0.4468595198743932
4187,Prince Rupert,U.S.A.,Container,3.423076923076923,5,0.6846153846153846,391052.8138313673,647481.0,0.6039602920106804,59.723194444444445,68.20941167290884,port1021,0.2610402989732869,1.4406108170549343,0.37605747838817116
4188,Prince Rupert,U.S.A.,Dry bulk,6.009615384615385,12,0.500801282051282,514133.81309250265,1034491.0,0.4969920599526749,51.25277777777778,82.35847955555565,port1021,0.2677927858200409,1.245515178609099,0.33353997946087643
4189,Prince Rupert,U.S.A.,General cargo,0.18269230769230768,2,0.09134615384615384,12316.443727480138,209804.0,0.05870452292368181,58.78694444444446,91.09864035087719,port1021,0.2734389649815859,1.0004046175207626,0.2735496031776766
4190,Prince Rupert,U.S.A.,RoRo,0.009615384615384616,1,0.009615384615384616,610.9519230769231,63539.0,0.009615384615384616,288.595,288.595,port1021,0.2590265563304093,1.0000017779927173,0.25902701687774
