id,port_name,Continent_Code,country,iso3,lat,lon,handling,vessel_type_main
port943,Port De Kribi,AF,Cameroon,CMR,2.724930863549935,9.861209105887896,0.3211157034496458,Dry bulk
port299,Douala,AF,Cameroon,CMR,4.052880864615648,9.683368801434446,0.3211157034496458,Dry bulk
port717,Matadi,AF,Democratic Republic of the Congo,COD,-5.827041368666613,13.44436671724751,0.30766004538899777,Dry bulk
port919,Point Noire,AF,Republic of Congo,COG,-4.785478217231056,11.83585413861118,0.27603192267229204,Dry bulk
port769,Moroni,AF,Comoros,COM,-11.70541816302198,43.2469507044346,0.30766004538899777,Dry bulk
port773,Moutsamoudu,AF,Comoros,COM,-12.16776101353955,44.39240197075812,0.30766004538899777,Dry bulk
port877,Palmeira,AF,Cape Verde,CPV,16.75446076655691,-22.9836467494859,0.30766004538899777,Dry bulk
port979,Port Vale Knights,AF,Cape Verde,CPV,14.92112318559652,-24.50354708342417,0.30766004538899777,Dry bulk
port998,Porto Da Praia,AF,Cape Verde,CPV,14.91004981562762,-23.49968560063622,0.30766004538899777,Dry bulk
port1009,Porto Grande,AF,Cape Verde,CPV,16.89422078703821,-24.99565966225549,0.30766004538899777,Dry bulk
port1131,Sal Rei,AF,Cape Verde,CPV,16.17932574975724,-22.92482193932883,0.30766004538899777,Dry bulk
port294,Djibouti,AF,Djibouti,DJI,11.59746443353415,43.10371866277629,0.30766004538899777,Dry bulk
port32,Alger,AF,Algeria,DZA,36.766686240592,3.066287649623686,0.3016796857130881,Dry bulk
port53,Annaba,AF,Algeria,DZA,36.89622629312586,7.767621789683287,0.338799285750217,Dry bulk
port70,Arzew El Djedid,AF,Algeria,DZA,35.81923501996177,-0.2676223049533487,0.30351175694710775,Dry bulk
port138,Bejaia,AF,Algeria,DZA,36.74560771788988,5.082295103457128,0.2732107782200904,Dry bulk
port293,Djen-Djen,AF,Algeria,DZA,36.82059244730151,5.886895265191487,0.338799285750217,Dry bulk
port392,Ghazaquet,AF,Algeria,DZA,35.1021976995162,-1.862537590953955,0.30351175694710775,Dry bulk
